Date,Details,Amount,Currency,Debit/Credit,Status,
28-Feb-25,Card Payment Received,"18,551.62",AED,Credit,SETTLED, 
15-Feb-25,EMIRATES INSURANCE,137.95,AED,Debit,SETTLED,
04-Feb-25,NOON.COM,110.69,AED,Debit,SETTLED,
23-Feb-25,Card Payment Received,"12,351.42",AED,Credit,SETTLED,
05-Oct-24,LULU HYPERMARKET,455,AED,Debit,SETTLED,
14-Jan-25,UBER AE,105.84,AED,Debit,SETTLED,
22-Nov-24,Card Payment Received,"9,941.27",AED,Credit,SETTLED,
08-Dec-24,Card Payment Received,"11,584.77",AED,Credit,SETTLED,
16-Dec-24,LULU HYPERMARKET,146.76,AED,Debit,SETTLED,
28-Jan-25,AMAZON AE,220.54,AED,Debit,SETTLED,
18-Oct-24,Card Payment Received,"3,788.46",AED,Credit,SETTLED,
16-Nov-24,SPINNEYS AE,131.56,AED,Debit,SETTLED,
25-Oct-24,ADCB BANK FEE,25.46,AED,Debit,SETTLED,
15-Mar-25,NETFLIX.COM,57.55,AED,Debit,SETTLED,
25-Mar-25,LULU HYPERMARKET,259.55,AED,Debit,SETTLED,
18-Feb-25,Card Payment Received,"4,532.98",AED,Credit,SETTLED,
23-Mar-25,SPINNEYS AE,389.93,AED,Debit,SETTLED,
04-Mar-25,Card Payment Received,"8,422.38",AED,Credit,REVERSED,
26-Oct-24,SPINNEYS AE,229.7,AED,Debit,SETTLED,
31-Jan-25,ETIHAD AIRWAYS,"4,986.65",AED,Debit,SETTLED,
30-Dec-24,APPLE.COM BILL,54.88,AED,Debit,SETTLED,
17-Mar-25,Card Payment Received,"4,185.27",AED,Credit,SETTLED,
05-Oct-24,Card Payment Received,"12,325.65",AED,Credit,SETTLED,
17-Feb-25,NOON.COM,415.17,AED,Debit,SETTLED,
25-Mar-25,ETIHAD AIRWAYS,"4,017.20",AED,Debit,SETTLED,
23-Oct-24,ETIHAD AIRWAYS,"2,638.93",AED,Debit,SETTLED,
20-Oct-24,HILTON DUBAI,"1,053.93",AED,Debit,SETTLED,
29-Nov-24,AMAZON AE,93.21,AED,Debit,SETTLED,
22-Nov-24,BOOKING.COM,"1,045.68",AED,Debit,SETTLED,
28-Feb-25,ADCB BANK FEE,11.67,AED,Debit,SETTLED,
18-Dec-24,LULU HYPERMARKET,91.64,AED,Debit,SETTLED,
24-Jan-25,AMAZON AE,342.46,AED,Debit,SETTLED,
20-Dec-24,ADCB BANK FEE,11.48,AED,Debit,SETTLED,
04-Jan-25,HILTON DUBAI,809.48,AED,Debit,SETTLED,
25-Nov-24,Card Payment Received,"4,948.34",AED,Credit,SETTLED,
28-Jan-25,APPLE.COM BILL,67.16,AED,Debit,SETTLED,
29-Nov-24,Card Payment Received,"19,926.47",AED,Credit,SETTLED,
16-Mar-25,SPINNEYS AE,458.06,AED,Debit,SETTLED,
23-Mar-25,ETIHAD AIRWAYS,"4,488.68",AED,Debit,SETTLED,
22-Oct-24,APPLE.COM BILL,80.09,AED,Debit,SETTLED,
19-Dec-24,BOOKING.COM,"1,346.32",AED,Debit,SETTLED,
04-Nov-24,Card Payment Received,"19,922.21",AED,Credit,SETTLED,
26-Dec-24,EMIRATES INSURANCE,795.51,AED,Debit,SETTLED,
22-Mar-25,ZOMATO AE,100.93,AED,Debit,SETTLED,
04-Mar-25,NETFLIX.COM,33.29,AED,Debit,SETTLED,
23-Mar-25,AMAZON AE,88.85,AED,Debit,SETTLED,
20-Dec-24,Card Payment Received,"10,725.22",AED,Credit,SETTLED,
14-Nov-24,SPINNEYS AE,160.68,AED,Debit,SETTLED,
29-Dec-24,AMAZON AE,435.43,AED,Debit,SETTLED,
12-Jan-25,Card Payment Received,"3,082.24",AED,Credit,SETTLED,
